Intrinsic_color,a0,a1,a2,a3,min_Teff,max_Teff
J-H,-8.13E+00,7.35E-03,-1.90E-06,1.55E-10,3.65E+03,5.20E+03
J-K,-2.42E+00,4.32E-03,-1.36E-06,1.23E-10,3.65E+03,5.20E+03
J-W1,3.74E+00,3.06E-04,-4.71E-07,5.71E-11,3.65E+03,5.15E+03
J-W2,5.70E+00,-1.44E-03,-2.63E-08,2.15E-11,3.65E+03,5.15E+03
J-W3,1.86E+01,-1.00E-02,1.91E-06,-1.25E-10,3.65E+03,5.10E+03
J-W4,2.02E+01,-1.03E-02,1.81E-06,-1.07E-10,3.70E+03,5.00E+03
J-[3.6],-2.13E+01,1.76E-02,-4.43E-06,3.57E-10,3.70E+03,5.10E+03
J-[4.5],1.70E+00,3.62E-04,-2.11E-07,1.72E-11,3.70E+03,5.00E+03
J-[5.8],-9.49E+00,9.04E-03,-2.37E-06,1.91E-10,3.70E+03,5.00E+03
J-[8.0],-2.91E+01,2.28E-02,-5.59E-06,4.42E-10,3.70E+03,5.10E+03
J-S9W,7.31E+00,-1.16E-03,-3.60E-07,6.47E-11,3.70E+03,5.00E+03
